seq,tag,dbh,year,vigor_base2017,basal_area,bai,rbai,sap_vol,ssc,syrup_vol,crownclass2018,strata.pre,crownclass2020,strata.post,crown.class,ftg2017,pct.open.jan.2019,FTG2019,crown.area.2017,numb.taps2017
37,329,12.35,2020,114.03855864,119.78751095999998,0.9679759199999722,0.8488145865256896,28.02,1.02,0.5,c,upper,c,upper,c,0,90,1,289.78,NA
38,330,NA,2016,136.84391423999998,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,225,3,317.26,NA
38,330,13.2,2017,136.84391423999998,136.84391423999998,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,225,3,317.26,NA
38,330,13.4,2018,136.84391423999998,141.02211456,4.17820032000003,3.0532598714417123,45.08112133,1.38,0.65,c,upper,c,upper,c,0,225,3,317.26,NA
38,330,13.63,2019,136.84391423999998,145.9047186144,4.882604054399991,3.5680096418732723,48.4,1.6,0.9,c,upper,c,upper,c,0,225,3,317.26,NA
38,330,13.71,2020,136.84391423999998,147.62249300160002,1.7177743872000235,1.255280073461909,35.12,0.87,0.61,c,upper,c,upper,c,0,225,3,317.26,NA
39,2823,NA,2016,132.32046263040002,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,225,3,421.41,13
39,2823,12.98,2017,132.32046263040002,132.32046263040002,NA,NA,22.89,1.35,0.45,c,upper,c,upper,c,0,225,3,421.41,13
39,2823,13.1,2018,132.32046263040002,134.77837535999998,2.4579127295999683,1.85754544742294,38.69170774,1.31,0.71,c,upper,c,upper,c,0,225,3,421.41,13
39,2823,13.3,2019,132.32046263040002,138.92516064,4.146785280000017,3.1338956935050137,43.2,1.5,0.7,c,upper,c,upper,c,0,225,3,421.41,13
39,2823,13.47,2020,132.32046263040002,142.49932827840001,3.574167638400013,2.701145059009841,21.01,1.26,0.33,c,upper,c,upper,c,0,225,3,421.41,13
40,2824,15.7,2016,197.30412216,193.58733023999997,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,225,3,620.76,12.5
40,2824,15.85,2017,197.30412216,197.30412216,3.71679192000002,NA,33.61,1.25,0.58,c,upper,c,upper,c,0,225,3,620.76,12.5
40,2824,16,2018,197.30412216,201.056256,3.752133839999999,1.901700683656917,74.05303012,1.39,0.45,c,upper,c,upper,c,0,225,3,620.76,12.5
40,2824,16.2,2019,197.30412216,206.11407744,5.057821439999998,2.5634646578232436,49.7,1.5,0.8,c,upper,c,upper,c,0,225,3,620.76,12.5
40,2824,16.3,2020,197.30412216,208.66654943999998,2.5524719999999945,1.2936739344604855,50.04,1.07,0.81,c,upper,c,upper,c,0,225,3,620.76,12.5
41,331,NA,2016,136.84391423999998,NA,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,90,1,370.44,NA
41,331,13.2,2017,136.84391423999998,136.84391423999998,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,90,1,370.44,NA
41,331,13.3,2018,136.84391423999998,138.92516064,2.081246400000026,1.5208907254361994,27.04613409,1.56,0.45,i,lower,c,upper,i,0,90,1,370.44,NA
41,331,13.41,2019,136.84391423999998,141.2326738656,2.3075132255999904,1.6862373737373668,47,1.8,1,i,lower,c,upper,i,0,90,1,370.44,NA
41,331,13.5,2020,136.84391423999998,143.134776,1.9021021343999962,1.3899793388429726,40.96,1.11,0.71,i,lower,c,upper,i,0,90,1,370.44,NA
42,2825,NA,2016,111.21709536,NA,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,315,4,501.17,11.5
42,2825,11.9,2017,111.21709536,111.21709536,NA,NA,18.43,1.08,0.28,i,lower,c,upper,i,0,315,4,501.17,11.5
42,2825,12,2018,111.21709536,113.094144,1.8770486399999982,1.6877339170962484,21.22273488,1.25,0.39,i,lower,c,upper,i,0,315,4,501.17,11.5
42,2825,12.35,2019,111.21709536,119.78751095999998,6.693366959999977,6.01828966880868,53.4,1.3,0.8,i,lower,c,upper,i,0,315,4,501.17,11.5
42,2825,12.57,2020,111.21709536,124.0932563424,4.305745382400019,3.871478002965909,40.03,1.1,0.6,i,lower,c,upper,i,0,315,4,501.17,11.5
43,2826,NA,2016,88.7450533344,NA,NA,NA,NA,NA,NA,s,lower,i,lower,s,0,270,4,209.56,12.5
43,2826,10.63,2017,88.7450533344,88.7450533344,NA,NA,4.9,0.95,0.07,s,lower,i,lower,s,0,270,4,209.56,12.5
43,2826,10.75,2018,88.7450533344,90.760014,2.0149606656000003,2.2705047660599544,14.0671918,1.2,0.23,s,lower,i,lower,s,0,270,4,209.56,12.5
43,2826,10.91,2019,88.7450533344,93.48181306560001,2.7217990656000097,3.066986793443017,23.3,1.4,0.4,s,lower,i,lower,s,0,270,4,209.56,12.5
43,2826,11.05,2020,88.7450533344,95.89637304000001,2.4145599744000066,2.7207826055405135,15.53,0.85,0.21,s,lower,i,lower,s,0,270,4,209.56,12.5
