seq,tag,dbh,year,vigor_base2017,basal_area,bai,rbai,sap_vol,ssc,syrup_vol,crownclass2018,strata.pre,crownclass2020,strata.post,crown.class,ftg2017,pct.open.jan.2019,FTG2019,crown.area.2017,numb.taps2017
9,2806,11.65,2018,106.59319416,106.59319416,0,0,24.0287642,1.26,0.4,i,lower,s,lower,i,0,45,1,111.555,19
9,2806,11.65,2019,106.59319416,106.59319416,0,0,26.1,1.5,0.5,i,lower,s,lower,i,0,45,1,111.555,19
9,2806,11.65,2020,106.59319416,106.59319416,0,0,12.58,1.24,0.23,i,lower,s,lower,i,0,45,1,111.555,19
10,2807,14.2,2016,158.36321663999996,158.36321663999996,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,90,1,323.15,27.5
10,2807,14.2,2017,158.36321663999996,158.36321663999996,0,NA,16.33,2.25,0.57,c,upper,c,upper,c,0,90,1,323.15,27.5
10,2807,14.2,2018,158.36321663999996,158.36321663999996,0,0,25.54113914,2.21,0.35,c,upper,c,upper,c,0,90,1,323.15,27.5
10,2807,14.2,2019,158.36321663999996,158.36321663999996,0,0,31.8,2.5,0.9,c,upper,c,upper,c,0,90,1,323.15,27.5
10,2807,14.2,2020,158.36321663999996,158.36321663999996,0,0,24.88,2.5,0.73,c,upper,c,upper,c,0,90,1,323.15,27.5
11,322,NA,2016,246.05044703999997,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,180,2,866.32,NA
11,322,17.7,2017,246.05044703999997,246.05044703999997,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,180,2,866.32,NA
11,322,17.9,2018,246.05044703999997,251.64232415999996,5.591877119999992,2.272654728845476,24.22007022,1.38,0.89,c,upper,c,upper,c,0,180,2,866.32,NA
11,322,17.95,2019,246.05044703999997,253.05011063999999,1.407786480000027,0.5721535957100561,20.5,2.3,0.6,c,upper,c,upper,c,0,180,2,866.32,NA
11,322,17.95,2020,246.05044703999997,253.05011063999999,0,0,35,1.45,0.83,c,upper,c,upper,c,0,180,2,866.32,NA
12,2808,NA,2016,92.62693128959998,NA,NA,NA,NA,NA,NA,i,lower,i,lower,i,0,270,4,211.36,12
12,2808,10.86,2017,92.62693128959998,92.62693128959998,NA,NA,13.63,1.25,0.23,i,lower,i,lower,i,0,270,4,211.36,12
12,2808,10.9,2018,92.62693128959998,93.31052256,0.6835912704000151,0.7380048770726876,42.47727595,1.42,0.37,i,lower,i,lower,i,0,270,4,211.36,12
12,2808,11.02,2019,92.62693128959998,95.3763755904,2.0658530304000067,2.2302941505652125,34.7,1.6,0.6,i,lower,i,lower,i,0,270,4,211.36,12
12,2808,11.15,2020,92.62693128959998,97.63990776,2.2635321695999977,2.443708474507288,25.8,1.02,0.46,i,lower,i,lower,i,0,270,4,211.36,12
13,2809,17.9,2016,251.64232415999996,251.64232415999996,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,135,2,642.45,22.5
13,2809,17.9,2017,251.64232415999996,251.64232415999996,0,NA,26.81,1.53,0.63,c,upper,c,upper,c,0,135,2,642.45,22.5
13,2809,18.05,2018,251.64232415999996,255.87746424,4.235140080000036,1.6829999063699783,15.17113931,1.56,0.9,c,upper,c,upper,c,0,135,2,642.45,22.5
13,2809,18.21,2019,251.64232415999996,260.43390164159996,4.556437401599965,1.810680066165212,35.8,2,0.8,c,upper,c,upper,c,0,135,2,642.45,22.5
