strata.post,FTG2019,n,vigor,dbh_med,dbh_mean,BA,bai,PCTopen,crown.area,sap_gal,ssc,syrup_gal
lower,0,4,0.16583702469190242,12.275,12.285,125.06692623839999,0.29697030000000524,0,165.44,34.964999999999996,1.115,0.5425
lower,1,10,0.8744140128802904,11.65,11.353,102.06967186656,0.7865226489600019,58.4,212.391,34.839,1.283,0.5740000000000001
lower,2,2,0.4683815180365207,10.75,10.75,90.760014,0.42115788000000975,135,204.65,28.195,1.62,0.5700000000000001
lower,4,6,2.183999764426007,11.100000000000001,12.756666666666668,132.4795274496,2.4630176736000067,285,271.1,26.446666666666665,1.33,0.48
upper,0,2,0.5797053025493567,17.4,17.4,237.78043775999996,1.3626273599999763,0,509.29,37.485,1.2650000000000001,0.6499999999999999
upper,1,18,0.9597156580518897,14.4,15.24,189.8006049504,1.6762367231999933,70,463.20888888888885,41.17944444444444,1.6083333333333334,0.8738888888888889
upper,2,14,1.3073012890612545,16.725,16.13142857142857,207.5933892342857,2.4631859684571364,150.71428571428572,533.44,39.004285714285714,1.5378571428571428,0.8092857142857143
upper,3,16,1.8239026973067003,14.25,14.495625,166.61502973979998,2.824280816399999,221.875,523.6375,38.6275,1.58625,0.813125
upper,4,14,2.2901674022717278,14.82,15.517142857142858,194.58212114057142,3.3651398160000037,315,546.7985714285714,46.13,1.5464285714285715,0.9071428571428571
