FTG2019,vigor,dbh_med,BA,bai,PCTopen,crown.area,sap_gal,ssc,syrup_gal
0,0.30379311731105385,15.17,162.63809674559997,0.6521893199999956,0,280.0566666666667,35.805,1.165,0.5783333333333334
1,0.9292507847763185,13.004999999999999,158.46812884902857,1.3584816966857107,65.85714285714286,373.63107142857143,38.915,1.4921428571428572,0.7667857142857143
2,1.2024363176831627,16.115,192.98921732999997,2.2079324573999957,148.75,492.34125,37.653125,1.548125,0.779375
3,1.8239026973067003,14.25,166.61502973979998,2.824280816399999,221.875,523.6375,38.6275,1.58625,0.813125
4,2.2583171109180116,14.754999999999999,175.95134303328,3.0945031732800046,306,464.089,40.225,1.4815,0.779
